Id,Point
11064,"52.63118,-.31334"
11065,"53.13532,-.00813"
11067,"53.34263,-.04054"
11071,"52.66479,-.1553"
11074,"51.88929,.58447"
11079,"52.73517,-.4219"
11089,"52.61419,-.67439"
11090,"53.39742,-.26966"
11091,"53.66455,-.34349"
11096,"52.93088,-.4014"
11099,"52.54918,-.1218"
11101,"50.81128,.21929"
11105,"53.10245,.31751"
11109,"52.34556,.48474"
11110,"52.1771,.45632"
11111,"52.68435,.92713"
11112,"52.02978,1.13204"
11113,"52.42709,.74234"
11114,"52.53631,-.98046"
11115,"52.3331,-.78701"
11116,"52.47319,-.8612"
11118,"52.80912,-.12842"
11119,"52.32348,1.27898"
11120,"53.32328,-.36725"
11121,"52.40222,1.54216"
11123,"52.29768,-.67067"
11125,"52.49484,-.46882"
11126,"52.81114,-.52746"
11127,"51.73343,.42929"
11130,"51.73387,.73637"
11132,"52.25262,-1.14519"
11133,"52.77483,1.15119"
11134,"51.97177,.94014"
11140,"52.89097,-.51287"
11143,"52.19106,-1.08785"
11154,"52.10122,.9063"
11157,"51.79312,.96331"
11158,"52.4708,1.73914"
11159,"51.6166,.59351"
11160,"51.90685,1.08712"
11161,"52.89958,.47915"
11162,"52.40907,1.30592"
11163,"51.64403,.48955"
11164,"51.74719,.62561"
11165,"52.43509,-.92102"
11166,"51.81501,.76595"
11167,"51.58413,.63785"
11168,"53.27631,-.636"
11169,"52.44706,1.60611"
11170,"52.08016,1.29614"
11171,"51.74365,.32408"
11175,"51.83595,.59738"
11185,"51.70264,.87633"
11189,"51.93437,-.25232"
11190,"52.94588,.74528"
11193,"52.2693,.00265"
11196,"52.33197,-.68138"
11201,"52.35069,.27504"
11203,"52.55401,1.03205"
11204,"52.18101,.95246"
11205,"52.55843,1.36732"
11206,"51.59932,.30082"
11208,"52.8353,.85857"
11210,"51.7325,.51613"
11211,"52.84066,1.07575"
11224,"51.53098,.51942"
11535,"55.09321,-2.48177"
11536,"53.65712,-2.04913"
11537,"53.71899,-2.19468"
11616,"52.8914,-.62285"
11635,"52.18555,-.8671"
11650,"53.67681,-.52469"
11675,"53.2518,-.15113"
11711,"51.68398,.71599"
11724,"53.32848,-.11027"
11734,"53.21994,-.50749"
11735,"52.93992,-.04391"
11736,"53.24838,.00461"
11739,"53.3462,.01521"
11748,"52.7599,.53643"
11751,"52.3424,-.06745"
11763,"53.49791,-.19622"
11765,"52.53802,-.33756"
11943,"52.7176,-3.51444"
11952,"53.71993,-.67625"
11972,"54.07324,-1.33748"
12047,"53.5468,-.15942"
12272,"53.70469,-2.13553"
12344,"52.40273,.28066"
